collection,name,description,image_url,owner,twitter_username,contracts
visit-illuviumtoken-net-to-claim-rewards,Visit illuviumtoken.net to claim rewards,Visit illuviumtoken.net to claim rewards,https://i.seadn.io/s/raw/files/092cd26670f4034dc181b7942e78dc7d.png?w=500&auto=format,,,"[{'address': '0x88b4baa0c9a7913b0922f9f84b727ce3ef61298e', 'chain': 'ethereum'}]"
visit-getrealio-net-to-claim-rewards-1,Visit getrealio.net to claim rewards,Visit getrealio.net to claim rewards,https://i.seadn.io/s/raw/files/9d43f0db2ec01f1e008bbded5e9523ea.png?w=500&auto=format,0x37c57b9e07cf0ffc9e842c38439f828463747ce4,,"[{'address': '0x8085ad7c3ca6d24830736b472eb232ddf074c9a6', 'chain': 'ethereum'}]"
visit-getrealio-net-to-claim-rewards,Visit getrealio.net to claim rewards,Visit getrealio.net to claim rewards,https://i.seadn.io/s/raw/files/9d43f0db2ec01f1e008bbded5e9523ea.png?w=500&auto=format,0x37c57b9e07cf0ffc9e842c38439f828463747ce4,,"[{'address': '0xe1ba7e3eca70025aae41ceeb1f96116e7fcb8108', 'chain': 'ethereum'}]"
eth-prof,Eth prof,,https://i.seadn.io/s/raw/files/0701b3bb7faf340d7e7f658a3b2b3b56.png?w=500&auto=format,0xe8157bc4f0225cd6018850bf85753a0ff814dc29,,"[{'address': '0xf9f671b44a8528c22725de8a6b2d41dfb17c7214', 'chain': 'ethereum'}]"
pas-8,pas,,https://i.seadn.io/s/raw/files/06f31c6cdc2fb09d2e59b627681bdb62.png?w=500&auto=format,0x9e358151c2d679f254ff8c580719204e27d3fafe,,"[{'address': '0x52e88d383147d39a462062193bbb72bed10e2f10', 'chain': 'ethereum'}]"
orcas-2,Orcas,,https://i.seadn.io/s/raw/files/f75b99ca1d0ecbfaa1dd7778405ee509.png?w=500&auto=format,0x3d6fd8462c2a88f67cb2f4a8f32fbbe1bab81462,,"[{'address': '0x45c66a82192e6618f5de5c1d8d6382086a3e8944', 'chain': 'ethereum'}]"
retrograding-mercury-is-bareback-bull-riding,retrograding mercury is bareback bull riding,,,0x80d47d88300b82e7ba1d8899a926f6b0f7e4d832,,"[{'address': '0x0c155ebc86e120feb76b83b7907bc6a08a8e7a2a', 'chain': 'ethereum'}]"
pop-a-i-stars-1,POP A.I STARS,,,0xcc43423e2c92ac9bea0775107e9265e329908e6c,,"[{'address': '0x7585785ab7253639f6f795398d81656a56e51ba1', 'chain': 'ethereum'}]"
brazilian-amazon-2,Brazilian Amazon,,,0x9d86995bab9612ab515b675ca1ff87192e8c34af,,"[{'address': '0x6aa59a9c7f0580a0aded192e0fda35fc212af7e8', 'chain': 'ethereum'}]"
space-doctor-art-ings-1,Space Doctor Art'ings,,,0x80d47d88300b82e7ba1d8899a926f6b0f7e4d832,,"[{'address': '0xde7c80fa646808d6b3dd5e85a684fbd5b12184cd', 'chain': 'ethereum'}]"
zodiac-64,Zodiac,,,0xe4b3c60c08c986b42cb43ec0a5efc5b36e780ebd,,"[{'address': '0xf3acca9ce9c87f128c7bc17d2a3b6bf71a34c560', 'chain': 'ethereum'}]"
eternaltracks,EternalTracks,,https://i.seadn.io/s/raw/files/3c289f5aa08f2fcfc5c3939d8c9ad04d.png?w=500&auto=format,0x73b4437a4b3e43de673836107437e4f092a363e0,,"[{'address': '0x278d50fb796af12d9b5a24db86f9bdcbe731177e', 'chain': 'ethereum'}]"
one-by-destiny,One by Destiny,,https://i.seadn.io/s/raw/files/0687bb1e837982eab3817c75d417f277.jpg?w=500&auto=format,0xbec35831da824bbe574dfcc07a5d6b86232c4b3d,,"[{'address': '0x93bdf8e9b85d423cfad33dd7dcbf3be595159f63', 'chain': 'ethereum'}]"
halving-27,HALVING,,,0xa2af28e6dda77dddd89eb43a1e8d31e9d323f67a,,"[{'address': '0x81d6ed7eaff851f506effc698ab39f9ed37df612', 'chain': 'ethereum'}]"
deep-state-destroyer-ii,DEEP STATE DESTROYER II,,,0x4b811575dae334cf2f686a25ac58b0bfe753effb,,"[{'address': '0xe1af77cb63bfe813812cfe78bb789a909683949b', 'chain': 'ethereum'}]"
deep-state-destyorer-ii,DEEP STATE DESTYORER II,,,0x4b811575dae334cf2f686a25ac58b0bfe753effb,,"[{'address': '0x9d1e318f57dbafa31203fe3d4c8ab98bc188b759', 'chain': 'ethereum'}]"
unimaster-cosmos-nft,UniMaster Cosmos NFT,"Unparalleled Security: Built on the robust Ethereum blockchain, Unimaster boasts unparalleled security and immutability. Your ownership is permanently recorded and verifiable, ensuring exclusivity and peace of mind.
Rarity and Value: Each Unimaster NFT coin is unique, some rarer than others. This inherent rarity fuels a vibrant collector's market, where the value of your Unimaster is determined by its unique characteristics and the ever-evolving digital landscape.
A Status Symbol: Owning a Unimaster signifies your status as a discerning collector and a pioneer in the digital frontier.
Unimaster paves the way for a future where digital assets hold immense value, a timeless treasure from the cosmos.
",https://i.seadn.io/s/raw/files/f68dc5c5e6dc55b95a4b4023f0c4d571.jpg?w=500&auto=format,0x4311b93a33f0d824d21386bc9487fa92b92be416,,"[{'address': '0x664f593eda98a7297361e983e92540d08e9d86d8', 'chain': 'ethereum'}]"
anomaly-19,Anomaly,,,0xa42592972489feceb110f31a4a853546d09cdbe4,,"[{'address': '0x780512edd19adea8b01ea99923d312a060ee9bb4', 'chain': 'ethereum'}]"
n01zet-artwork,N01zet Artwork,N01zet Artwork,https://i.seadn.io/s/raw/files/0776b99da6d30f4cdf97f6d514ba6571.jpg?w=500&auto=format,0xeec2aafbbf95e35bbe7421f9fcae5c3872f1463e,,"[{'address': '0x890d0029137bd2598ab2404c797f35692af63e09', 'chain': 'ethereum'}]"
deep-state-destroyer,DEEP STATE DESTROYER,,,0x4b811575dae334cf2f686a25ac58b0bfe753effb,,"[{'address': '0x9a364c8244b2c8d4ee9ff3be2c897054c18e826e', 'chain': 'ethereum'}]"
good-evil-6,Good & Evil,,,0x437ee7d3d744639314c23e0282fc9de2c6a24422,,"[{'address': '0xfea90e63d8df0f957d69f5428c1da0a71febcb2f', 'chain': 'ethereum'}]"
emotional-fantasia-by-noriko,Emotional Fantasia by Noriko,"Welcome to the world of Emotional Fantasia, where emotions come alive in vibrant hues and abstract forms. Explore a kaleidoscope of feelings through our collection of abstract art pieces, each intricately crafted to capture the depth and complexity of human emotion. From the serenity of tranquil blues to the fiery passion of bold reds, every artwork in Emotional Fantasia invites you on a journey through the rich tapestry of the human experience. Immerse yourself in this whimsical realm where imagination knows no bounds and emotions dance freely on the canvas.",https://i.seadn.io/s/raw/files/9edc1f5d1f7ceb9f597184d9988d6212.jpg?w=500&auto=format,0x893beac8da381c6bfabbb5dd8092e224474f6034,,"[{'address': '0x97b523f66d6054fff42e9fa061b622b367441d70', 'chain': 'ethereum'}]"
munjado-delights-by-boyane,Munjado Delights by Boyane,"600 years ago, the mighty Joseon Dynasty was formed, ushering in a period of flourishing art and culture on the Korean peninsula. This era saw the birth of Munjado, a unique form of folk painting where strokes of a brush conveyed characters, stories, and identity. Today, French street artist Boyane Zelechowski (AKA BOYANE) pays homage to this rich heritage with ""Munjado Delights,"" a collection of 3 NFTs that reinterpret this ancient Asian tradition with savvy European finesse. Like pieces of a puzzle, each NFT is assembled and reassembled with rich imagery and meaning that coincide with one another- telling a new story in an ancient fashion.
",https://i.seadn.io/s/raw/files/cbf78d14cc9bd802cb41038b78f65e82.gif?w=500&auto=format,0xb28077284a81b23bf4709ac326accb8142662cff,,"[{'address': '0xf6e882b61290372ea0901f4377a0a8cc097ff947', 'chain': 'ethereum'}]"
neon-world-noirder,Neon World Noirder,,,0x5930c6a5057aa1c0da66071a80794bdac40d9839,,"[{'address': '0x6b54b0652185ce69032d7a20d769a027bf59f7ea', 'chain': 'ethereum'}]"
klari,KLARI,,,0x4a301e60d3fd1028adcc44efb2055f072f01dfb9,,"[{'address': '0xc2860a743d18919a1960ccba1b5f6f9ad8560744', 'chain': 'ethereum'}]"
grand-egyptian-temple-environment-1,Grand Egyptian Temple Environment,,,0xec99194c8fc217753d1db81f5bdf7fcbec08eb3f,,"[{'address': '0xdca716f971080dc93f5e57837d3e1f2cf8dce642', 'chain': 'ethereum'}]"
urban-eyes-3d,Urban Eyes 3D,"Introducing ""Urban Eyes 3D,” a dynamic collection of 3D NFTs inspired by street art, graffiti, and the works of prominent street artists from Brazil and around the world. Each NFT in this vibrant collection features a unique eye motif, meticulously crafted with vibrant colors and captivating 3D visuals. Drawing influence from the bustling streets of Brazil and urban landscapes worldwide, ""Urban Eyes 3D” captures the essence of street culture in stunning detail. With its fusion of street art aesthetics and cutting-edge 3D design, this collection offers an immersive experience that celebrates urban creativity and global influence.
",https://i.seadn.io/s/raw/files/285f10a2888430521464eca7eef4b834.png?w=500&auto=format,0x561a40a888f7e114d6ccdc9a9faa5f8f6c2dddde,,"[{'address': '0x166fd83f4b784a6296feb428e6b144aa14b252c0', 'chain': 'ethereum'}]"
50-50-by-ohsnap,50/50 By Ohsnap,,,0xf4e7c646a6b967995eb0634b5793ea421482327c,,"[{'address': '0x6194626ecc6d357e96ee68c8771ca7dc93c608e7', 'chain': 'ethereum'}]"
